Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
118	ADD1	adducin 1 (alpha)	NM_176801, NM_014190, NM_014189, NM_001119	NP_789771.1, NP_054909.2, NP_054908.2, NP_001110.2	ENSG00000087274	chr4:2847440 - 2900048	actin binding;actin cytoskeleton;calmodulin binding;membrane;metal ion binding;structural constituent of cytoskeleton	ID
120	ADD3	adducin 3 (gamma)	NM_016824, NM_001121	NP_058432.1, NP_063968.1	ENSG00000148700	chr10:111850401 - 111883366	calmodulin binding;cytoskeleton;membrane;metal ion binding;structural constituent of cytoskeleton	Protein Kinase
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797	NP_004788.1	ENSG00000181092	chr3:188053541 - 188055187	cytoplasm;endoplasmic reticulum;extracellular region;extracellular space;fatty acid beta-oxidation;generation of precursor metabolites and energy;glucose homeostasis;glucose metabolic process;hormone activity;negative regulation of gluconeogenesis;phosphate transport;positive regulation of fatty acid metabolic process;positive regulation of glucose import;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein homooligomerization;response to glucose stimulus	Protein Kinase,  Stability,  Tumor Suppressor
51094	ADIPOR1	adiponectin receptor 1	NM_015999, NM_001127687	NP_057083.2, NP_001121159.1	ENSG00000159346	chr1:201177323 - 201186821	fatty acid oxidation;hormone binding;hormone-mediated signaling;identical protein binding;integral to membrane;lipid metabolic process;membrane;protein heterodimerization activity;receptor activity	Protein Kinase
135	ADORA2A	adenosine A2a receptor	NM_000675	NP_000666.2	ENSG00000128271	chr22:23159372 - 23167457	A2A adenosine receptor activity, G-protein coupled;adenylate cyclase activation;apoptosis;blood coagulation;cAMP biosynthetic process;cell-cell signaling;cellular defense response;central nervous system development;circulation;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to cAMP nucleotide second messenger;gastric inhibitory peptide receptor activity;inflammatory response;integral to membrane;integral to plasma membrane;membrane;membrane fraction;neurotransmitter transpo	Stability
141	ADPRH	ADP-ribosylarginine hydrolase	NM_001125	NP_001116.1	ENSG00000144843	chr3:120783706 - 120789415	ADP-ribosylarginine hydrolase activity;hydrolase activity;magnesium ion binding;protein amino acid ADP-ribosylation;protein modification process	Tumor Suppressor
148	ADRA1A	adrenergic, alpha-1A-, receptor	NM_000680, NM_033303, NM_033304, NM_033302	NP_000671.2, NP_150646.3, NP_150647.2, NP_150645.2	ENSG00000120907	chr8:26683582 - 26778403	adrenoceptor activity;alpha1-adrenergic receptor activity;apoptosis;cell-cell signaling;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;negative regulation of cell proliferation;protein kinase cascade;receptor activity;rhodopsin-like receptor activity;signal transduction;smooth muscle contraction	Protein Kinase
147	ADRA1B	adrenergic, alpha-1B-, receptor	NM_000679	NP_000670.1	ENSG00000170214	chr5:159276490 - 159332077	adrenoceptor activity;adult heart development;alpha1-adrenergic receptor activity;behavioral response to cocaine;blood vessel remodeling;cell growth;cell proliferation;cell-cell signaling;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to cAMP nucleotide second messenger;glucose homeostasis;increased strength of heart contraction by epinephrine-norepinephrine;integral to membrane of membrane fraction;integral to plasma membrane;locomotory behavior;membrane;multicellular org	Protein Kinase
151	ADRA2B	adrenergic, alpha-2B-, receptor	NM_000682	NP_000673.2	ENSG00000181210	chr2:96144271 - 96145615	adrenoceptor activity;alpha2-adrenergic receptor activity;cell-cell signaling;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Stability
154	ADRB2	adrenergic, beta-2-, receptor, surface	NM_000024	NP_000015.1	ENSG00000169252	chr5:148186587 - 148187829	activation of MAPK activity;adenylate cyclase activation;apical plasma membrane;arrestin mediated desensitization of G-protein coupled receptor protein signaling pathway;beta2-adrenergic receptor activity;bone resorption;brown fat cell differentiation;diet induced thermogenesis;endosome;endosome to lysosome transport;G-protein coupled receptor protein signaling pathway;heat generation;integral to plasma membrane;lysosome;membrane fraction;negative regulation of body size;negative regulation of smooth muscle	Protein Kinase
156	ADRBK1	adrenergic, beta, receptor kinase 1	NM_001619	NP_001610.2	ENSG00000173020	chr11:66790746 - 66809497	ATP binding;cardiac inotropy;cytoplasm;desensitization of G-protein coupled receptor protein signaling pathway;G-protein coupled receptor kinase activity;G-protein coupled receptor protein signaling pathway;heart development;membrane;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor activity;signal transducer activity;signal transduction;soluble fraction;transferase activity	Protein Kinase,  Stability
157	ADRBK2	adrenergic, beta, receptor kinase 2	NM_005160	NP_005151.2	ENSG00000100077	chr22:24291007 - 24448417	ATP binding;G-protein coupled receptor kinase activity;nucleotide binding;protein amino acid phosphorylation;signal transducer activity;signal transduction;transferase activity	Protein Kinase
84632	AFAP1L2	actin filament associated protein 1-like 2	NM_001001936, NM_032550	NP_001001936.1, NP_115939.1	ENSG00000169129	chr10:116045790 - 116154204		Protein Kinase
4299	AFF1	AF4/FMR2 family, member 1	NM_005935	NP_005926.1	ENSG00000172493	chr4:88147583 - 88275877	nucleus;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
3899	AFF3	AF4/FMR2 family, member 3	NM_001025108, NM_002285	NP_001020279.1, NP_002276.2	ENSG00000144218	chr2:99534367 - 100087348	DNA binding;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;transcription	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
27125	AFF4	AF4/FMR2 family, member 4	NM_014423	NP_055238.1	ENSG00000072364	chr5:132244649 - 132300780	nucleus;regulation of transcription, DNA-dependent;transcription;transcription factor activity;transcription from RNA polymerase II promoter	Futreal et al 2004,  Translocation
177	AGER	advanced glycosylation end product-specific receptor	NM_001136, NM_172197	NP_001127.1, NP_751947.1	ENSG00000168442	chr6:32256897 - 32259977	cell adhesion;cell surface receptor linked signal transduction;inflammatory response;integral to membrane;integral to plasma membrane;membrane;plasma membrane;protein binding;receptor activity;transmembrane receptor activity	Stability
178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	NM_000643, NM_000645, NM_000646	NP_000635.2, NP_000636.2, NP_000637.2	ENSG00000162688	chr1:100089186 - 100159795	4-alpha-glucanotransferase activity;amylo-alpha-1,6-glucosidase activity;carbohydrate metabolic process;cation binding;glycogen biosynthetic process;hydrolase activity, acting on glycosyl bonds;isoamylase complex;metabolic process;transferase activity;transferase activity, transferring glycosyl groups	Stability
183	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	NM_000029	NP_000020.1	ENSG00000135744	chr1:228905509 - 228913219	angiotensin mediated regulation of renal output;angiotensin mediated vasoconstriction during regulation of blood pressure;astrocyte activation;blood pressure regulation;blood vessel development;brain renin-angiotensin system;cell surface receptor linked signal transduction;cell-cell signaling;cell-matrix adhesion;drinking behavior;establishment of blood-nerve barrier;extracellular matrix organization and biogenesis;extracellular region;extracellular space;hormone activity;hormone metabolic process;kidney de	Stability
185	AGTR1	angiotensin II receptor, type 1	NM_032049	NP_114438.1	ENSG00000144891	chr3:149941512 - 149942592	angiotensin type II receptor activity;bradykinin receptor activity;C-X-C chemokine receptor activity;circulation;elevation of cytosolic calcium ion concentration;fluid secretion;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to IP3 second messenger (phospholipase C activating);integral to membrane;integral to plasma membrane;membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Stability
186	AGTR2	angiotensin II receptor, type 2	NM_000686	NP_000677.2	ENSG00000180772	chrX:115217561 - 115218653	angiotensin mediated vasodilation during regulation of blood pressure;angiotensin type II receptor activity;apoptosis;behavior;blood pressure regulation;bradykinin receptor activity;brain renin-angiotensin system;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;protein kinase inhibitor activity;receptor activity;rhodopsin-like receptor activity	Protein Kinase,  Stability,  Tumor Suppressor
189	AGXT	alanine-glyoxylate aminotransferase	NM_000030	NP_000021.1	ENSG00000172482	chr2:241456955 - 241466911	alanine-glyoxylate transaminase activity;glyoxylate metabolic process;metabolic process;mitochondrion;peroxisome;protein binding;protein homodimerization activity;protein targeting to peroxisome;pyridoxal phosphate binding;serine-pyruvate transaminase activity;transaminase activity;transferase activity	Stability
191	AHCY	S-adenosylhomocysteine hydrolase	NM_000687	NP_000678.1	ENSG00000101444	chr20:32332500 - 32354737	adenosylhomocysteinase activity;cytoplasm;hydrolase activity;one-carbon compound metabolic process;protein binding	Stability
57491	AHRR	aryl-hydrocarbon receptor repressor	NM_020731	NP_065782.2	ENSG00000063438	chr5:357334 - 487949	nucleus;receptor activity;regulation of transcription, DNA-dependent;signal transduction;transcription regulator activity	Tumor Suppressor
10598	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	NM_012111	NP_036243.1	ENSG00000100591	chr14:76994285 - 77005345	ATPase stimulator activity;chaperone activator activity;chaperone binding;cytoplasm;endoplasmic reticulum;protein folding;response to stress	Stability
9131	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	NM_145812, NM_004208, NM_145813	NP_665811.1, NP_004199.1, NP_665812.1	ENSG00000156709	chrX:129091212 - 129127311	apoptosis;cell redox homeostasis;cytoplasm;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;DNA fragmentation during apoptosis;electron carrier activity;electron transport;FAD binding;mitochondrion;nucleus;protein binding	Stability
84883	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	NM_032797	NP_116186.1	ENSG00000042286	chr10:71543939 - 71553846	apoptosis;apoptotic mitochondrial changes;chromosome condensation;cytoplasm;cytosol;DNA binding;electron transport;electron-transferring-flavoprotein dehydrogenase activity;FAD binding;induction of apoptosis;integral to membrane;membrane;metabolic process;mitochondrial outer membrane;mitochondrion;outer membrane;oxidoreductase activity	Tumor Suppressor
9049	AIP	aryl hydrocarbon receptor interacting protein	NM_003977	NP_003968.2	ENSG00000110711	chr11:67007205 - 67015040	cytoplasm;cytosol;membrane fraction;protein import into mitochondrion;protein maturation via protein folding;signal transducer activity;transcription coactivator activity;unfolded protein binding;xenobiotic metabolic process	Stability,  Tumor Suppressor
23746	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	NM_001033054, NM_001033055, NM_014336	NP_001028226.1, NP_001028227.1, NP_055151.3	ENSG00000129221	chr17:6269503 - 6279148	binding;cytoplasm;farnesylated protein binding;nucleus;protein farnesylation;protein folding;receptor activity;response to stimulus;unfolded protein binding;visual perception	Stability
